CCR,response,actual,Prediction
Why not just make the existing `org.apache.activemq.artemis.core.protocol.openwire.amq.AMQConsumer#getRolledbackMessageRefs` public? The methods are exactly the same except for the access level.,@jbertram @gemmellr @franz1981 Is this looking better? Have not seen or done that kind of access before but it seems to be working like you described...,1,1
"Arrays.asList returns ArrayList, why to pass it into constructor of another ArrayList?",fixed,0,1
"Can we just add method implementations to `ContextAwareHistogramFactory`, avoid declaring new classes? Is there a requirement to differentiate on class names instead of on methods?","Don't fully understand what do you mean by method implementations. The factory method a common method instead of binding with a specific metrics type, right?",1,1
"Maybe this would be nicer as `def ROW(fields: (String, TypeInformation[_])*)` so that one could write:
```scala
val rowType = ROW( (""name"", STRING), (""favorite_color"", STRING), (""favorite_number"", DOUBLE))
```",Done,0,1
Note it's important to put this AFTER `...lessOptions` because the lessOptions always contain a plugin attribute which would override the  `lessPlugins` attribute,Note it's important to put this AFTER `...lessOptions` because the lessOptions always contain a plugin attribute which would override the  `lessPlugins` attribute,0,0
"I think this is form the time when the ""broadcast connect"" was the other way round. And this also sounds a bit complicated and could be simplified, I think.",You mean simplify the Javadoc or the order of the input types?,1,1
"Bit confused by this comment, is it a TODO or does it just try to justify the helpers below? Maybe just remove?","I was trying to comment on the nature of the test helper functions helps in writing tests, but I'm happy to just leave it out.",1,1
"By looking at some established practices for lazy initialization (e.g. [Commons Lang](https://github.com/apache/commons-lang/blob/master/src/main/java/org/apache/commons/lang3/concurrent/LazyInitializer.java)), there should be a second `if (this.installAsLevelPropagator)` inside the synchronized block to ensure that `propagateLogLevels` is called only once.

In the `master` branch we do have a generic [LazyUtil](https://github.com/apache/logging-log4j2/blob/master/log4j-api/src/main/java/org/apache/logging/log4j/util/LazyUtil.java), but it is probably not worth backporting it for a single callsite.",@ppkarwasz @carterkozak `volatile` is applied. Anything else? Thx!,0,1
"Fix the commnent. ""Used by both the old admin API"" and what?",Fixed!,1,1
Shouldn't this be inherited from parent?,"Yes in principle I put it just because the command `mvn versions:display-plugin-updates` showed a warning of type version not updated but curiously inferred the right version. I can let as you prefer, remove it from everywhere or make it explicit everywhere. What should I do ?",1,1
what's the difference between LongTypeInfo and BIGINT datatype?,Ok,1,1
"Can't we implement behaviors like `sed` in java, otherwise we will be still tackling issues of platform dependent semantics of those tools.","I had already implemented the sed logic in bash (actually the entire test was already written in bash), so I opted for re-using some stuff.",0,1
I don't think these should be marked as `json` since it isn't technically valid json with the `<` and `>` which causes the markdown to render funny,OK,0,1
Why do we need the additional emit here?,This seemed to be a mistake while resolving conflicts by rebasing. Let me fix it.,0,1
"This log left in intentionally, so it shows up in circleci and gives us a way (not an easy way, but at least *a* way) to see the traceid associated with a specific build.","This log left in intentionally, so it shows up in circleci and gives us a way (not an easy way, but at least *a* way) to see the traceid associated with a specific build.",0,0
"hmm, can you explain this condition? Why does internalConnectionCount come into the picture here?",I was trying to leave this condition the same as before thus combining both connection counts.  This appears to me to be sequence handling for no connection open.,1,1
"Keep in mind that, with the way you have written this code, here, the group attribute will continue to be available in the tokens, as well.  Which is fine - this may be what you were going for, or it may not, just something to discuss about the merits of doing things this way or not.","I've left a comment below as to my reasoning.  If you agree, I'll leave it unchanged.  If you disagree, I will agree to disagree and change it.  :-)",0,1
The nested logic here seems somewhat complex. Can you add some javadocs to help guide future developers?,I completely missed this.  Will do!,0,1
"How about this?

````
DROP PROCEDURE IF EXISTS `cloud`.`create_external_uuid_in_volumes`();

CREATE PROCEDURE `cloud`.`create_external_uuid_in_volumes`()
BEGIN
        IF NOT EXISTS ((SELECT * FROM INFORMATION_SCHEMA.COLUMNS WHERE
            table_name = 'volumes' AND
            table_schema='cloud' AND
            column_name = 'external_uuid'))
        THEN
            ALTER TABLE cloud.volumes ADD COLUMN external_uuid VARCHAR(40) DEFAULT null;
            END IF; END;;

CALL `cloud`.`create_external_uuid_in_volumes`();
````","Nope, get also a syntax error. If it work by you, I would suggest that we add this, so that we have progress here. I will check it later what the problem with my env is.  ",0,0
Question to the reviewers: should we deprecate this method?,@rdblue should we deprecate the old methods that do not accept `compressionCodec` and `compressionLevel`?,1,1
"Code style is wrong.
```suggestion
    if (len != times.size() || len != measurementsList.size() || len != valuesList.size()) {
```",Fixed~,1,1
We can omit this as we are already printing the containerID earlier.,done,0,0
Is not possible,removed,1,1
"nit: maybe rename to `Partitioned`, partitioned often means chunks and sharded means somehow spread across devices (although nothing is 100% consistent). This is more inline with `ShardedAxis` too.",I think I like `Chunked`. Let's do that.,0,0
create a structure for these backed up variables?,Created.,1,1
"EL currently is not considered for RecordSetWriters, right?","EL currently is not considered for RecordSetWriters, right?",1,1
"there is some special casing for datetime in the Series construction. Although fixing this could also be considered out-of-scope for the issue that this PR attempts to close, I could look into this further and maybe raise a separate issue if not fixed here.","there is some special casing for datetime in the Series construction. Although fixing this could also be considered out-of-scope for the issue that this PR attempts to close, I could look into this further and maybe raise a separate issue if not fixed here.",0,1
