project,pull,author,reviewer,CCR,Prediction,Merge
pulsar,19836,alpreu,nicoloboschi,"```suggestion
                sourceConfig.setArchive(validateSourceType(sourceConfig.getSourceType()));
```",0,True
solr,624,magibney,dsmiley,Any Solr engineer knows what a match-all-docs query looks like :-),1,False
flink,15055,gaoyunhaii,dawidwys,"Could you add a javadoc here? At least pointing to `EndOfUserRecordsEvent`.

I think that is enough.
```
    /**
     * @see org.apache.flink.runtime.io.network.api.EndOfUserRecordsEvent
     */
```",1,True
gobblin,2142,jdintruff,ibuenros,I think this is needed in general (you just needed to remove it for running from IDE).,1,True
kafka,8312,tombentley,mimaison,No need for the brackets after `id`,0,True
geode,6104,jchen21,agingade,The same may need to be done in RemoveAll.,0,True
geode,3699,echobravopapa,mcmellawatt,Could be final - I saw some other similarly un-mutated strings declared final so we should at least try and be consistent.,1,True
hbase,721,mymeiyi,infraio,Why add this assert?,1,True
phoenix,687,stoty,joshelser,nit: 'hbase' or 'HBase'. I would say 'hbase' since we have 'phoenix',1,True
hive,1684,kgyrtkirk,kasakrisz,"nit: space
`db, new Context`",0,True
nifi,1585,bbende,markap14,"We should make sure here that the Reporting Task is stopped, similar to Processors. And should also ensure that Controller Services are disabled when calling setControllerService.",0,True
beam,25301,sirenbyte,alxp1982,"Please add runnable example description, e.g. ### Playground Excercise section",0,False
nutch,458,aalbahem,sebastian-nagel,Could inherit from [AbstractScoringFilter](/apache/nutch/blob/master/src/java/org/apache/nutch/scoring/AbstractScoringFilter.java) which already implements the boilerplate methods.,1,False
pulsar,4955,codelipenghui,sijie,same comments as above,0,False
commons-io,39,JeanPierrePortier,garydgregory,New public and protected APIs need an `@since` tag.,0,True
flink,9663,GJL,tillrohrmann,I think it would be better to use `isLegacyScheduling()` instead of `vertex.isLegacyScheduling()` across all legacy scheduling checks.,1,False
pulsar,17398,tjiuming,zymap,"you need to complete the future to release the lock.
And it's better to get the debug log back. ",0,True
dolphinscheduler,6103,yc322,ruanwenjun,"```suggestion
process the audit message
```",0,False
flink,19116,zentol,XComp,"Same here, `take` instead of `poll` would enablue us to remove the `timeout` parameter from this and its calling methods as well",0,True
dubbo-admin,661,chrisptang,KeRan213539,请不要修改与PR目标无关的文件,1,True
hadoop,4237,skysiders,cnauroth,"Please indent by 2 spaces instead of 4 to match Hadoop coding standards.

Once that's done, I think this will be ready to commit. Thanks!",0,False
flink,7188,azagrebin,StefanRRichter,"Please add some comments on the fields, in particular this one.",0,True
iotdb,5184,zjx1230,JackieTien97,"Actually, in raw query, there won't be a row whose fields are all null. So `without null all` only take effect in group by query. The previous sql case is not right, you can correct the sql instead of the description. ",0,True
samza,499,shanthoosh,vjagadish,Conflicts with the previous statement. Can you clarify?,1,True
geode,3175,gesterzhou,jchen21,This `if` check does nothing?,1,False
dubbo,12273,hujun-w-2,songxiaosheng,meter and getId and getName need add Null check,1,True
flink,11989,dawidwys,twalthr,missing `;` and update groupBy,0,True
druid,6402,gaodayue,leventov,Unnecessary breakdown?,1,True
flink,8309,eaglewatcherwb,GJL,"I think it is not ideal that it is currently easily possible to create contradicting topologies. For example, it is possible to create an instance of `TestingSchedulingResultPartition` that links to a producer vertex with empty _""producedResultPartitions""_. This is because we currently have to create the links between partitions and vertices in two separate steps.",1,True
kafka,13201,OmniaGM,mimaison,I guess we could import `org.apache.kafka.clients.CommonClientConfigs`,1,False
druid,4874,himanshug,cheddar,"This bit of logic starting from here doesn't make sense to me.  I'm not sure what it is doing.  As I read on, I might become more aware.  Not sure.",1,False
geode,4928,albertogpz,boglesby,Another possibly unnecessary formatting change.,1,False
nifi,5593,timeabarna,markap14,"This block appears to be super repetitive. Might consider creating a simple method:
```
void enableRetries(ProcessorEntity processor, String relationship);
```
that performs all of this logic.",0,False
drill,2060,arina-ielchiieva,paul-rogers,~~It~~ Liquibase converts **the** yaml ~~content~~ **specification** into **the** DDL ~~/~~ **and** DML commands ~~suitable to database syntax to database syntax based on connection details.~~ **required for the configured database.**,0,True
druid,9449,a2l007,jihoonson,`sqls` should be properly capitalized as `SQL`s.,0,False
geode,6595,jdeppe-pivotal,sabbey37,"Doesn't seem like we need this any longer, but I wanted to make sure it was intentionally delted.",1,True
dolphinscheduler,10184,ITBOX-ITBOY,zhongjiajie,Same as above.,0,True
pulsar,3525,eolivelli,merlimat,"For cursors, we could use: 

```json
{ 
   ""application"" : ""pulsar"",
   ""component"" : ""managed-ledger"",
   ""managed-ledger"" : ""$MANAGED_LEDGER_NAME"",
   ""cursor"" : ""$CURSOR_NAME""
}
```",0,True
incubator-hugegraph,1030,zhoney,javeme,define 3 as const var SCHEDULE_PERIOD,0,False
dolphinscheduler,11542,insist777,lenboo,required=false,1,False
cassandra,1962,maedhroz,dcapwell,TODO: honestly I don't remember why `int index`...,1,False
kafka,6933,suryateja008,mjsax,"Why remove the empty line? It make it harder to read the code, as logical blocks are separated by blank lines atm. (similar below)",1,True
beam,3618,CaoManhDat,iemejia,Make scope test since the logging is only used in the tests.,0,True
ignite,5484,artemmalykh,dmitrievanthony,Why do we need this (and missed javadoc)?,1,True
accumulo,194,lstav,joshelser,"Looking back, this shouldn't be at `error`, more like trace.",1,True
seatunnel,3694,liugddx,CalvinKirs,should init this in ProtoStufferializer.,0,True
netbeans,3,Chris2011,sdedic,Also consider creating `@ActionReference` for placement in `Menu/Windows`. Note that the registered singletons (unlike instance created in window popup menus) do not update their enable flag according to the current TC.,0,False
tomcat,382,minfrin,michael-o,Why not `21` ?,1,True
pulsar,21151,liangyepianzhou,codelipenghui,"It's better to check the transaction buffer can still be recovered after the topic has been unloaded.

```java
        MessageIdAdv messageId = (MessageIdAdv) producer.newMessage(transaction).send();
        Assert.assertEquals(topicTransactionBuffer.getState(), TopicTransactionBufferState.State.Ready);
        transaction.commit();
        admin.topics().unload(topic);
        PersistentTopic persistentTopic2 = (PersistentTopic) pulsarServiceList.get(0).getBrokerService()
                .getTopic(topic, false)
                .get()
                .get();
        TopicTransactionBuffer topicTransactionBuffer2 = (TopicTransactionBuffer) persistentTopic2.getTransactionBuffer();
        Awaitility.await().untilAsserted(() -> {
            Assert.assertEquals(topicTransactionBuffer2.getState(), TopicTransactionBufferState.State.Ready);
            Assert.assertTrue(topicTransactionBuffer2.getMaxReadPosition()
                    .compareTo(PositionImpl.get(messageId.getLedgerId(), messageId.getEntryId())) > 0);
        });
```",0,False
incubator-heron,1951,cckellogg,objmagic,there is an `self.configs` above.,1,True
cloudstack,5831,Pearl1594,DaanHoogland,can we find out what is thrown so we don't have to catch'm all tm?,1,True
seatunnel,2639,laglangyue,TyrantLucifer,Remove redundant blank line.,0,False
kafka,1852,becketqin,hachikuji,"nit: Why change this? Doesn't look like it mutates.
",1,False
iotdb,11532,VGalaxies,Caideyipi,Think twice here,1,False
hbase,2960,sandeepvinayak,wchevreuil,"nit: if it's for test only, make it package private instead?",1,True
druid,13485,techdocsmith,vtlim,"A bit confusing. Maybe something like this:

```
In this section, you'll create a line graph that compares the following, per channel:
* Total additions
* Number of unique editors
* Number of bot edits
```",1,True
hadoop,2207,mukund-thakur,steveloughran,get a WriteOperationHelper instance and invoke via that,1,True
flink,6994,StefanRRichter,tillrohrmann,I think we don't need these two dependencies.,1,True
nifi,7740,mkalavala,exceptionfactory,"Instead of returning a nullable `ProxyOptions`, what do you think about returning it in an `Optional` wrapper? That would indicate the contract more clearly.",1,False
flink,6735,bmeriaux,azagrebin,"`split` local variable is redundant, we can just return `{new GenericInputSplit(0, 1)}`",0,False
drill,2266,kingswanwho,luocooong,"Recommended to replace that :
告别繁冗：充分享受数据应用的敏捷性",0,True
beam,8884,ostrokach,aaltay,"Should this be taking writer_kwargs similar to reader, instead of passing writer_kwargs in __init__.

I am guessing the intended usage is, by user to request a writer transform and add it to their pipeline.",1,False
flink,11959,twalthr,dawidwys,I like this test. It's easy to follow the test cases.,0,False
incubator-kie-optaplanner,665,michaltomco,ge0ffrey,"Some of our jenkins machines are really slow. If the machine is too slow, this test will randomly fail if the timeout is too short. Always put it on 600_000 even if it runs in less than a second on your machine, just for safety.
The timeout is just there to prevent a forever run.",0,True
flink,8404,dawidwys,twalthr,"unnecessary JavaDocs, instead one could rename the parameter names",1,False
doris,832,zhaidongbo,imay,"```suggestion
    StringVal result(ctx, src.len + 1);
```",0,True
cassandra,1587,paulrutter,jacek-lewandowski,This constructor alone is redundant. You should add a constructor which takes `SnitchProperties` so that both are justified,1,True
geode,6756,gesterzhou,jchen21,Better add some comments for the new system property. Add what is the default value for this property?,1,False
flink,21368,1996fanrui,XComp,"```suggestion
    private static final long CHECKPOINT_ID = 42L;
```",0,True
dubbo,2688,Jeff-Lv,beiwei30,consider to use `{...}`,0,False
beam,29305,talatuyarer,rszper,"This is a repeat of the first paragraph on the page. We should either include it here or there, but not in both places.",1,False
parquet-mr,481,gszadovszky,zivanfi,Typo: CULOMN should be COLUMN.,1,False
flink,9517,packbase,zentol,this case implies an invalid configuration and should be logged as a warning,1,True
pulsar,1669,zhaijack,ivankelly,Add a comment that the true argument mean that the inputstream will release the bytebuf on close.,1,True
flink,9210,sjwiesman,NicoK,Should we actually also assign `uid()` as a best-practice (even though we are not doing checkpoints/savepoints here)?,1,True
solr,1760,risdenk,epugh,"Look at all the string handling for JSON!  I wondered about maybe using the FieldTypeDefinition.java, but after looking at how it's used, it seems to add another level of complexity/obfuscation over what is happening.   I hope our future V2 api's make doing thinks like adding a field type simpler and cleaner ;-).",1,False
iceberg,1891,jackye1995,yyanyy,"For things like setting glue catalog id we probably want to mention the parameter ""gluecatalog.id""; or overall I think we may want to add a section in the configuration page that include all configurable parameters mentioned in `AwsProperties` and link to that section in this page, otherwise people won't know how to configure them. And that would serve as a centralized place to read about all configurations. Is it part of the plan/covered by other PRs? ",1,False
